KBAManufacturerID,KBAManufacturerName,TotalCount
7463,C.P.I. MOTOR (RC),711
1568,JIANGLING (RC),703
1244,VOLVO CONSTR.EQUIPMENT(S),703
9223,DEBON (PL),702
1602,JIANGMEN DA CHANG (RC),702
8892,BERLIN AUFZUGBAU,686
9867,FB SIEMGL.-BRANDENB.,684
1661,THAI SUZUKI (THA),682
6542,ALF ADORNO+LEISENTR.,681
2128,INGERSOLL-RAND (UK),680
8107,ADRIA CARAVAN (SLO),673
9206,FSM (PL),673
0349,HKM,666
7932,FALCH,665
1342,SI-ZWEIRAD,660
2141,MCCORMICK (UK),657
6774,VESPA-RSM,655
1184,WIELTON (PL),654
1214,TOYOTA (THA),639
2130,TOYOTA (UK),638
1431,NANCY CHEVAL (F),637
9301,GAS (SU),616
0530,NORMAG,609
6761,STRAUTMANN,604
1704,YANMAR (NL),600
8895,HAASE,590
0377,EINHELL,571
1316,BOXER (I),567
8901,GOERLITZ STAHL/FZBAU,565
7724,HYMER-LEICHTM-BAU,559
7880,"HEIMANN,HUBERT",549
1751,NILFISK (DK),548
1629,KUHZ,540
1375,ZHEJIANG CHANGLING (RC),527
4106,BERTONE (I),521
0543,ARBGEM.MF/EICHER,511
4002,LANCIA (I),503
1845,UM LOHIA (IND),488
3091,CHRYSLER (F),488
0025,HOREX,487
2078,VIKING (DK),486
4086,LAMBORGHINI TRATT(I),481
0826,HAHN,479
1291,MARO (CZ),477
1694,PIAGGIO (IND),474
2325,FISKER GROUP (USA),469
6010,REFORM-WERKE (A),467
7077,DAIMLER BUSES,464
2134,ABI (UK),461
1932,E.GO,460
5983,HONDA (TR),456
1809,LOVOL (RC),452
0154,ROBUR,452
7473,REINMECH CORP.(RC),444
1254,ZHEJIANG WANGYE (RC),441
7467,DINLI (RC),431
1942,BOMBARDIER (CDN),429
0144,WILLIG,427
0657,KAESSBOHRER,427
4087,ITALJET (I),427
0273,LLOYD,427
8908,LIEBSCH,423
0073,PROGRESSWERK,422
9310,AZLK MOSKAU (SU),421
2028,FORD (UK),418
1012,MITSUBISHI (USA),411
1381,SFM,411
9733,BROSHUIS (NL),409
2216,NEXT.E.GO,409
1561,LML LIMITED (IND),408
8904,OESER,400
8905,BRAUNE,390
5016,VOLVO (B),390
0384,"BUNGARTZ,B.& PESCHKE",389
1801,TORROT (E),383
1223,BMS,382
0056,TRIUMPH WERKE,381
7691,IVECO-MAGIRUS,381
1865,TAIZHOU ZHONGNENG (RC),378
0203,MASSEY-FERGUSON (D),372
7858,MOETEFINDT,371
0001,ADLERWERKE,371
9591,OMME LIFT (DK),369
2271,LANZHOU ZHIDOU (RC),365
0204,WILK CARAVANING,357
1234,GUANGZHOU PA.HUANAN (RC),357
1507,DEMHARTER,356
9939,JOCHEN SOMMER,348
0642,WOLFANGEL,345
9954,SAXAS,344
2241,JIANGSU LVNENG (RC),340
8889,"HEINEMANN,H.",340
6462,MIDDENDORF,340
9309,UAZ (SU),339
2321,RIVIAN (USA),338
7907,ARGE AUDI/PORSCHE,336
7012,AEBI (CH),334
6525,MAUS,333
8842,HENNIGSDORF SWW,328
7597,DEERE (E),327
1048,DIAMOND (USA),321
0884,MANNESM.DEMAG-DRUCKL,321
9122,HUSABERG (S),315
2291,MICROLINO (I),314
1016,CASE (USA),314
0003,ROSSKNECHT,313
0668,MENGELE,312
9956,FIBERLINE,305
3012,ERKA (F),303
1595,QUADRO TECNOLOGIE (I),303
1379,ACCESS MOTOR (RC),299
4135,MERLO (I),295
8897,HANS,294
2174,HESHAN GUOJI (RC),293
8902,WOETZEL,292
0159,FZ-MA-REGENSBURG-FMR,289
1915,YAMAHA (BR),288
0661,LIEBHERR,286
2183,ESCORTS LIMITED (IND),285
0481,MAICO-FAHRZEUGFABRIK,282
8898,FRIEDEL,274
1217,KEEWAY (H),268
0024,HANOMAG-HENSCHEL,264
2229,ZHEJIANG CHUANGTAI (RC),262
1885,TAIZHOU WANGYE (RC),257
3090,TALBOT AUTOMOB.(F),257
4026,LAMBORGHINI (I),254
1744,TIMA (A),252
9708,VAN DOORNE-DAF (NL),251
0519,WEIPPERT,250
4073,LEYLAND-INNOCENTI(I),245
1221,R.G.P. (I),243
9330,IRBIT MOTORC.PL(RUS),243
2030,LONDON EV COMPANY (UK),241
9616,COMBI-CAMP (DK),240
8818,"SKW,BRAND-ERBISDORF",240
8490,"UNSINN,H.",240
3102,RENAULT-RVI (F),240
8202,UAP (R),237
3092,SIMCA (F),236
2272,ECOBIT (I),235
8838,DIETLAS,231
2341,ZHEJIANG CHIHUI (RC),230
8104,ZELEZARNA STORE (YU),228
7670,OBERL.STAHL-U.FZ-BAU,228
6192,MARQUARDT,226
7508,RIEJU (E),225
8962,KAKERBECK FZ-BAU,225
0364,EMMINGHAUS,225
1533,ATLAS WEYHAUSEN,224
0937,CLAAS SAULGAU,223
2132,NEW HOLLAND FORD(UK),222
6001,STEYR-PUCH (A),221
1281,ZAKLADY SPRZETU (PL),220
7860,SUHLER FZ-WERKE,219
6995,IFA-KAROSSERIEWERKE,214
7469,BAROSSA MOTOR (RC),211
4005,AUTOBIANCHI (I),209
9897,"PUTZMEISTER,AICHTAL",205
1890,GOLDEN LION (SGP),205
1582,BOBCAT (F),201
8896,GERSTENBERGER,201
1265,JLFD (F),200
0036,DEUTSCHE FIAT/NECKAR,200
1506,WEBER STAHL,195
2256,NANJING GOLD. DRAGON (RC),195
2172,EVUM MOTORS,192
9618,SOENDER OMME (DK),192
7903,"SCHMID,FAHRZEUGBAU",190
4067,ALFAROMEO ALFASUD(I),189
2287,WICK TRAILER,188
7897,WECON,187
9225,FABRYKA PRZYCZEP(PL),187
7401,PROTON (MAL),186
8915,SCHWARZE-PUMPE GASKO,180
8900,LEITERITZ,178
7818,BARKAS,177
7112,ISEKI (J),172
0058,VICTORIA WERKE,167
9892,KAESSBOHRER FAHRZW.,166
6929,WESTERIA,166
1632,NILFISK-ADVANCE (DK),162
8737,MS-PARTS,161
6667,FINKL,160
3149,RENAULT TRUCKS (F),159
1756,MITSUBISHI FUSO (J),159
2194,KUHZ METALLBAU,157
0424,DINKEL,156
0218,SCHANZLIN,156
8015,PROSTEJOV (CS),156
8964,TREUENBRIETZEN FZW,153
0552,GOTHA ANH-BAU,151
7789,GAMO,150
0518,"FENDT,XAVER/ASBACH-B",148
7970,KOMATSU HANOMAG,147
9752,VAN VOSSEN (NL),147
9123,VOLVO WHEEL LOAD.(S),144
6591,MAGIRUS-DEUTZ,143
1584,HOREX (D),142
7767,HANOMAG AG,142
0907,SCHARFEN,141
2332,RA ENGINEERING (UK),140
0004,WUERZ,139
4158,CARROZZERIA PEZ.(I),139
1624,SCHWINGENSCHLOEGEL (A),138
7808,FAHRZEUGBAU WITTENB.,136
0097,DUERKOPP,135
6158,EIFELLAND-HENNERICI,135
7503,N.M.I.S.A.(E),133
9202,FSO (PL),133
9312,SAS (SU),132
0435,"KOEGEL,F.X.",131
9825,MASCHINENFAB.KRONE,131
9402,SAAB VALMET (SF),130
8920,BAD DUEBEN CAMPINGWG,128
0015,FAUN-WERKE,127
1683,ZERO MOTORCYCLES (USA),126
9716,KIP (NL),124
2150,ZONGSHEN INDUSTRIAL (RC),124
1905,NEW HOLLAND (CDN),122
8917,HEIMSTOLZ,122
4058,GOLDONI (I),119
2253,UM MOTORCYCLES (UK),117
0684,PEKA-FAHRZEUGBAU,117
1675,CHANGZHOU DONGFENG (RC),117
6990,SAUERBURGER,116
7831,FAHRZEUGB.LUEBTHEEN,116
6790,WOLPERDING,115
0835,ZWEIRAD-UNION,115
8705,"OEHLER,HERBERT",115
0655,KALI,114
9921,KNAUF PFT,114
8894,DONNER,112
8888,"HERZOG,R.",110
1550,MCLAREN (UK),110
9802,POLYESTER MALCHOW,109
6700,UNSINN,108
1032,MAZDA (USA),106
0542,ORENSTEIN & KOPPEL,105
1782,"KLAAS, THEODOR",104
1639,UNU,103
4141,ELLEBI (I),103
1258,ZHEJIANG SHENMAO (RC),103
0245,EXPRESS-WERKE,100
1436,HITACHI (NL),100
0391,"HOFFMANN-WERKE,LINT.",100
4091,BIMOTA (I),97
0939,FICKERS,94
2075,SCUTUM (E),94
8544,OHLMEIER,94
0002,ARDIE-WERK,93
1573,SKY TEAM (RC),93
3053,MOTOBECANE (F),91
7935,ANTIP,90
0320,VERE.FLUGT.WERKE-VFW,90
0724,WELGER,90
2138,WILLIAMS (UK),90
0553,TATRA (CZ),88
1588,FISKER (USA),87
1204,GFB,87
2207,KIRCHHOFF ECOTEC,87
9813,SERRA MASCHINENBAU,85
2375,WUHAN LOTUS (RC),85
6030,CNH (A),84
1863,BEIJING BORGWARD (RC),82
2338,LUCID (USA),81
1503,E-BILITY,81
0321,MIELE & CIE,81
2016,COMPAIR HOLMAN (UK),80
0531,RITSCHER,80
4022,FIAT LANCIA (I),79
0395,RABENEICK,78
2144,BORCO HOEHNS,77
1240,HEIZOMAT,77
8976,BERLIN GARTENBAUTECH,76
8760,VIETZ,75
8102,ZASTAVA (YU),75
1156,J I CASE (USA),74
2265,BLACK TEA,73
1488,ZHEJIANG JIAJUE (RC),73
0508,ZETTELMEYER,73
0669,KIEFER,73
1718,BUCHER (CH),71
8990,GADEBUSCH LANDTECH.,70
2068,VAUXHALL (UK),70
4138,BERTUOLA (I),70
9317,LENINGRAD TRAK-W(SU),69
9050,WIDEROE (N),69
0054,VIDAL & SOHN,67
3137,VOXAN (F),67
5050,JLG MANUFACT. (B),67
1978,TROPOS (USA),67
1158,JEEP EAGLE (USA),67
0451,STIHL,66
5981,KANUNI (TR),66
1159,TOYOTA (USA),64
3136,MANITOU (F),64
1822,SHANDONG ASIAWING (RC),64
1955,SOFLOW (NL),64
9748,BOVA (NL),63
